faculty,phase,term,gender,race,grade,count
8,3a,Fall 2021,women,nonURM,B,3
8,3a,Fall 2021,women,nonURM,C,2
8,3a,Fall 2021,women,nonURM,D,1
8,3a,Fall 2021,women,nonURM,W,2
9,1b,Spring 2017,men,black,A,1
9,1b,Spring 2017,men,hispanic,A,4
9,1b,Spring 2017,men,hispanic,B,2
9,1b,Spring 2017,men,hispanic,F,1
9,1b,Spring 2017,men,natpac,F,1
9,1b,Spring 2017,men,nonURM,A,17
9,1b,Spring 2017,men,nonURM,B,2
9,1b,Spring 2017,men,nonURM,C,1
9,1b,Spring 2017,men,nonURM,F,4
9,1b,Spring 2017,men,nonURM,W,5
9,1b,Spring 2017,women,hispanic,A,1
9,1b,Spring 2017,women,nonURM,A,1
9,1b,Spring 2017,women,nonURM,B,2
9,1b,Spring 2017,women,nonURM,F,2
9,1b,Spring 2017,women,nonURM,W,1
9,2a,Fall 2017,men,black,A,2
9,2a,Fall 2017,men,black,C,3
9,2a,Fall 2017,men,hispanic,A,5
9,2a,Fall 2017,men,hispanic,B,1
9,2a,Fall 2017,men,hispanic,C,1
9,2a,Fall 2017,men,hispanic,D,1
9,2a,Fall 2017,men,hispanic,W,2
9,2a,Fall 2017,men,natpac,B,1
9,2a,Fall 2017,men,nonURM,A,13
9,2a,Fall 2017,men,nonURM,B,5
9,2a,Fall 2017,men,nonURM,C,1
9,2a,Fall 2017,men,nonURM,F,3
9,2a,Fall 2017,men,nonURM,W,2
9,2a,Fall 2017,women,hispanic,F,1
9,2a,Fall 2017,women,nonURM,A,2
9,2a,Fall 2017,women,nonURM,F,1
9,2a,Fall 2017,women,nonURM,W,1
9,3a,Spring 2018,men,amerind,A,1
9,3a,Spring 2018,men,black,A,1
9,3a,Spring 2018,men,hispanic,A,4
9,3a,Spring 2018,men,hispanic,B,1
9,3a,Spring 2018,men,hispanic,C,1
9,3a,Spring 2018,men,nonURM,A,19
9,3a,Spring 2018,men,nonURM,B,3
9,3a,Spring 2018,men,nonURM,C,1
9,3a,Spring 2018,men,nonURM,D,1
9,3a,Spring 2018,men,nonURM,F,1
9,3a,Spring 2018,men,nonURM,W,4
9,3a,Spring 2018,women,nonURM,A,8
9,3a,Spring 2018,women,nonURM,F,2
9,3a,Spring 2018,women,nonURM,W,1
9,3b,Fall 2018,men,black,F,1
9,3b,Fall 2018,men,hispanic,A,4
9,3b,Fall 2018,men,hispanic,B,2
9,3b,Fall 2018,men,hispanic,F,1
9,3b,Fall 2018,men,hispanic,W,2
9,3b,Fall 2018,men,nonURM,A,8
9,3b,Fall 2018,men,nonURM,B,5
9,3b,Fall 2018,men,nonURM,C,1
9,3b,Fall 2018,men,nonURM,D,1
9,3b,Fall 2018,men,nonURM,F,4
9,3b,Fall 2018,men,nonURM,W,3
9,3b,Fall 2018,women,nonURM,A,4
9,3b,Fall 2018,women,nonURM,B,1
9,3b,Fall 2018,women,nonURM,F,5
10,1a,Spring 2017,men,black,A,5
10,1a,Spring 2017,men,black,B,11
10,1a,Spring 2017,men,black,C,12
10,1a,Spring 2017,men,black,W,7
10,1a,Spring 2017,men,hispanic,A,2
10,1a,Spring 2017,men,hispanic,B,2
10,1a,Spring 2017,men,hispanic,C,2
10,1a,Spring 2017,men,hispanic,W,2
10,1a,Spring 2017,men,nonURM,A,18
10,1a,Spring 2017,men,nonURM,B,17
10,1a,Spring 2017,men,nonURM,C,6
10,1a,Spring 2017,men,nonURM,F,4
10,1a,Spring 2017,men,nonURM,W,2
10,1a,Spring 2017,women,black,A,3
10,1a,Spring 2017,women,black,B,2
10,1a,Spring 2017,women,black,W,2
10,1a,Spring 2017,women,black ,C,7
10,1a,Spring 2017,women,hispanic,W,1
10,1a,Spring 2017,women,nonURM,A,8
